CODICE;CODICEREGIONE;STRUTTURA;TIPO;Comune;Indirizzo
11816;043003-ALB-00001;VILLA VERDEFIORE;Albergo;APPIGNANO;contrada Verde Fiore, 43/a
21133;043003-APA-00001;ZITTI MIRELLA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);APPIGNANO;Contrada Lame, 20
24193;043003-APA-00002;SAMPAOLESI ROBERTO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);APPIGNANO;Via gramsci, 82
24900;043003-APA-00003;VINCENZETTI SIMONA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);APPIGNANO;Via Pirandello, 3
16489;043003-AST-00001;AREA DI SOSTA CAMPER;Aree di Sosta;APPIGNANO;VIA IMPIANTI SPORTIVI
18638;043003-BeB-00001;DOLCEDIMORA;Bed & Breakfast;APPIGNANO;Contrada Campo di Bove, 6
24404;043003-BeB-00002;B&B FATTORIA NONNO NENO;Bed & Breakfast;APPIGNANO;Via Santa Maria delle Grazie, 7
13216;043003-CHT-00001;COUNTRY HOUSE DEI SEGRETI;Country house;APPIGNANO;contrada verde fiore, 1
14121;043003-CHT-00002;IL GIARDINO DEGLI ULIVI;Country house;APPIGNANO;contrada forano, 29
16235;043003-CHT-00003;LA COLOMBAIA Srl;Country house;APPIGNANO;c.da Cardeggiano, 10
16798;043004-AFF-00001;AZIENDA AGRICOLA CORONCINA DI MOSCHINI MELANIA;Agriturismi;BELFORTE DEL CHIENTI;via Fossa, 1
13306;043004-AGR-00001;AGRITURISMO LA FONTE;Agriturismi;BELFORTE DEL CHIENTI;via sodere, 1
19029;043004-AGR-00002;IL LECCINO;Agriturismi;BELFORTE DEL CHIENTI;Via San Giorgio, 63
22841;043004-AGR-00003;IL VILLINO;Agriturismi;BELFORTE DEL CHIENTI;Località Piccioni, 3
22238;043004-ALB-00001;HOTEL CHIAROSCURO;Albergo;BELFORTE DEL CHIENTI;Nazionale, 27
21276;043004-APA-00002;SALVATORI GIULIANO - APPARTAMENTO VERDE- SUB 5;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);BELFORTE DEL CHIENTI;Europa, 30
21277;043004-APA-00003;SALVATORI GIULIANO- APPARTAMENTO ARANCIO- SUB 1;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);BELFORTE DEL CHIENTI;Europa, 30
12906;043004-BeB-00001;B&B IL VILLINO;Bed & Breakfast;BELFORTE DEL CHIENTI;via giuseppe piccioni, 3
14414;043004-BeB-00002;B&B LA MIMOSA;Bed & Breakfast;BELFORTE DEL CHIENTI;via palmiro togliatti, 10
14517;043004-BeB-00003;B&B LA PINTURETTA;Bed & Breakfast;BELFORTE DEL CHIENTI;via Fornaci, 26
17028;043004-BeB-00004;B&B ANTEGIANO;Bed & Breakfast;BELFORTE DEL CHIENTI;via Madonna d'Antegiano, 3
15836;043004-CHT-00001;PALAZZO BONFRANCESCHI RESIDENZA D'EPOCA;Country house;BELFORTE DEL CHIENTI;Via Cavour, 14
22395;043005-AFF-00001;CASA ROSETTA;Affittacamere;BOLOGNOLA;Via Luigi Maurizi, 8
11820;043005-ALB-00001;LA CAPANNA;Albergo;BOLOGNOLA;Piazzale Pintura, 5
11818;043005-ALB-00002;PINTURA;Albergo;BOLOGNOLA;piazzale pintura, 1
19097;043005-APA-00001;LA KUMARI di BISCONTI LEONARDO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);BOLOGNOLA;Via dei Sibillini, 1
58;043005-BeB-00001;B&B CRISTINA & LAURA di MAGGI MARIA GABRIELLA;Bed & Breakfast;BOLOGNOLA;via dei sibillini, 1
25112;043005-BeB-00002;LILLINI VALERIO;Bed & Breakfast;BOLOGNOLA;Via delle Piane, 4
17880;043006-AGR-00002;AGRITURISMO VILLA NINETTA;Agriturismi;CALDAROLA;C.da San Pietro, 4
19105;043006-AGR-00003;AGRITURISMO COLLE CASINI CORTESI;Agriturismi;CALDAROLA;CONTRADA COLLARSONE, 10
22641;043006-AGR-00004;AGRITURISMO IL FRUTTETO;Agriturismi;CALDAROLA;Contrada Acquaviva, 6
11984;043006-ALB-00001;TESORO;Albergo;CALDAROLA;via Giacomo Matteotti, snc
15801;043006-AST-00001;AREA DI SOSTA CAMPER;Aree di Sosta;CALDAROLA;via Martiri di Montalto
13169;043006-BeB-00001;IL NIDO DEL CUCULO;Bed & Breakfast;CALDAROLA;contrada colcu', 12
14312;043006-BeB-00002;LA CASA DI ROSA;Bed & Breakfast;CALDAROLA;Via Cassero, 14
19187;043006-BeB-00004;MAZZAMURELLO;Bed & Breakfast;CALDAROLA;Contrada Acquaviva, SNC
21486;043006-BeB-00005;B&B BEA VILLA BEA;Bed & Breakfast;CALDAROLA;Contrada Colcu', 1
15182;043006-CAV-00001;CASE E APPARTAMENTI VACANZE DIBIAGI FAUSTO;Case e appartamenti per vacanze;CALDAROLA;localita' borgo pievefavera, 50
21487;043006-CHT-00001;BEA VILLA BEA COUNTRY HOUSE di Segala Beatrice;Country house;CALDAROLA;Contrada Colcu', 1
17933;043007-AFF-00002;ALLA SCOPERTA DELLE MARCHE;Affittacamere;CAMERINO;via Andrea d'Accorso, snc
18072;043007-AFF-00003;IN TOWN LUXURY HOUSE DI SONIA AMICI;Affittacamere;CAMERINO;Località Sentino, snc
18363;043007-AFF-00004;AFFITTACAMERE LEOPARDI 59;Affittacamere;CAMERINO;G. Leopardi, 59
18464;043007-AFF-00005;AFFITTACAMERE TIEPOLO 4;Affittacamere;CAMERINO;TIEPOLO, 4
19394;043007-AFF-00006;TORRE DEL PARCO;Affittacamere;CAMERINO;Località Torre del Parco, snc
22575;043007-AFF-00010;LA CASA DI ELENA;Affittacamere;CAMERINO;Località Palentuccio, snc
23030;043007-AFF-00011;LA CASA DI ALBERTO;Affittacamere;CAMERINO;Località Perito, 6/bis
13417;043007-AGR-00002;AGRITURISMO LE CORTINE;Agriturismi;CAMERINO;via Andrea d' Accorso, 75
13997;043007-AGR-00004;AGRITURISMO DRAGONCELLO;Agriturismi;CAMERINO;via pieragostini, 10
15637;043007-AGR-00007;LA COLLINA DEI CILIEGI;Agriturismi;CAMERINO;frazione colle altino, 7
22907;043007-AGR-00010;AGRITURISMO LE ARCATE DI SANT'ANGELO;Agriturismi;CAMERINO;Località Morrone, 4
11824;043007-ALB-00002;IL CAVALIERE;Albergo;CAMERINO;via mariani, 35
11825;043007-ALB-00003;DEL SOLE;Albergo;CAMERINO;via mariani, 59
19977;043007-ALB-00005;BORGO DE' VARANO;Albergo;CAMERINO;Piazza Macalle', 3
15114;043007-APA-00001;CAMPUS, NUOVO CAMPUS;Collegi Universitari;CAMERINO;via Andrea d'Accorso, 1
15115;043007-APA-00002;COLLEGIO G. D'AVACK;Collegi Universitari;CAMERINO;VIA MACARIO MUZIO, snc
15104;043007-APA-00004;CAMPO CONTAINER LE CORTINE (EX. GRANELLI);Collegi Universitari;CAMERINO;Via D'Accorso, 1
15105;043007-APA-00005;COLLEGIO E. MATTEI 1;Collegi Universitari;CAMERINO;via le mosse, 1
15638;043007-APA-00006;BORGO BELVEDERI;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);CAMERINO;frazione valle Vegenana, 1
16543;043007-APA-00007;COLLEGIO E. MATTEI 2;Collegi Universitari;CAMERINO;Loc. Colle Paradiso, 1
16586;043007-APA-00008;FORESTERIA MATTEI 1;Collegi Universitari;CAMERINO;colle Paradiso - le Mosse, 1
19014;043007-APA-00009;COLLEGIO PIAZZA GARIBALDI;Collegi Universitari;CAMERINO;Piazza Garibaldi, 18
15664;043007-AST-00001;AREA SOSTA CAMPER - CAMERINO;Aree di sosta di eccellenza;CAMERINO;via Macario Muzio
12137;043007-BeB-00001;B&B CASELUNGHE;Bed & Breakfast;CAMERINO;localita' caselunghe, 2
13787;043007-BeB-00002;B&B PALOMBA;Bed & Breakfast;CAMERINO;località Palombare, 2
13598;043007-BeB-00003;B&B FRANCIONI DONATELLA;Bed & Breakfast;CAMERINO;frazione valdiea, 9
14184;043007-BeB-00004;B&B VALLE SAN MARTINO;Bed & Breakfast;CAMERINO;localita' valle raggiano, 12
14520;043007-BeB-00006;B&B AGNANO PICCOLO;Bed & Breakfast;CAMERINO;localita' poggio maddalena, 1
14597;043007-BeB-00007;B&B VIALE DEI TIGLI;Bed & Breakfast;CAMERINO;via berta, 2
15474;043007-BeB-00008;B&B PRIMA O POI;Bed & Breakfast;CAMERINO;LOCALITA' PONTINIA, 8
16782;043007-BeB-00012;B&B HAPPY HOUSES;Bed & Breakfast;CAMERINO;viale Emilio Betti, 15
17118;043007-BeB-00013;B&B ACANTO GARDEN;Bed & Breakfast;CAMERINO;loc. Varano di Sopra, 14
17884;043007-BeB-00014;B&B DAI NONNI;Bed & Breakfast;CAMERINO;loc. Arcofiato, 14
18001;043007-BeB-00015;B&B RESTOQUI;Bed & Breakfast;CAMERINO;via Varino Favorino, 8
18446;043007-BeB-00017;LA DIMORA DELL'ARCIERE;Bed & Breakfast;CAMERINO;PIAZZA MAZZINI, 5
21305;043007-BeB-00019;B&B IL CASTAGNETO;Bed & Breakfast;CAMERINO;Località Torrone, 5/A
22786;043007-BeB-00020;LA TORRE DI MORRO;Bed & Breakfast;CAMERINO;Via Adigrat, 24
25045;043007-BeB-00021;LE FRESCHE FRASCHE B&B;Bed & Breakfast;CAMERINO;Via Varano di Sopra, 14
17845;043007-CAV-00001;RESIDENCE I GIRASOLI;Case e appartamenti per vacanze;CAMERINO;frazione San Marcello, 24
4466;043007-CAV-00003;CASAROLI SILVANO;Case e appartamenti per vacanze;CAMERINO;via conti di borgo, 77
16554;043007-CAV-00004;VILLA MARIA;Case e appartamenti per vacanze;CAMERINO;via Girolamo di Giovanni, 41
24415;043007-CAV-00005;RESIDENZE LE MURA;Case e appartamenti per vacanze;CAMERINO;Le Mosse, 13
13999;043007-CHT-00001;COUNTRY HOUSE PAPPAFO';Country house;CAMERINO;localita' montagnano, 98
15134;043007-CHT-00002;LA LOCANDA DELL'ISTRICE;Country house;CAMERINO;frazione rocca d'aiello, 9
14779;043007-CHT-00003;RELAIS VILLA FORNARI;Country house;CAMERINO;localita' calvie, 2
14780;043007-CHT-00004;COUNTRY HOUSE CALVIE;Country house;CAMERINO;localita' calvie, 2
15641;043007-CHT-00005;COUNTRY HOUSE VARANO;Country house;CAMERINO;frazione santa lucia, 3
17963;043007-CHT-00006;VILLA CLAUDI;Country house;CAMERINO;Fraz. Raggiano, 16
15287;043007-CPF-00001;RESIDENZA BONGIOVANNI;Case per ferie;CAMERINO;via b. bongiovanni, 13
5406;043007-CPF-00004;RESIDENCE VENANZINA PENNESI;Case per ferie;CAMERINO;via Macario Muzio, 6/8
19047;043008-AGR-00001;AL RESPIRO NEL BOSCO;Agriturismi;CAMPOROTONDO DI FIASTRONE;Contrada Colvenale, 10
1560;043008-AGR-00002;LA CASA SUL FIUME;Agriturismi;CAMPOROTONDO DI FIASTRONE;contrada Ceca, 2
14943;043008-BeB-00002;B&B  AL RESPIRO NEL BOSCO di GIACOMAZZI LUCA;Bed & Breakfast;CAMPOROTONDO DI FIASTRONE;contrada colvenale, 10
22628;043008-CHT-00001;COUNTRY HOUSE AZZURRO DI VALLEPIETRA DI GRAZIOSI LUCIA;Country house;CAMPOROTONDO DI FIASTRONE;Contrada Case nuove, 13/A
16953;043008-OST-00001;COMMUNE TERRE CAMPI ROTUNDI;Ostelli per la gioventù;CAMPOROTONDO DI FIASTRONE;Vicolo Giglioni, 4
24921;043009-AFF-00003;IL PALAZZETTO DI MOSCIATTI GIOVANNI;Affittacamere;CASTELRAIMONDO;Località Rustano, 75
12128;043009-AGR-00001;AGRITURISMO TORRAIMUNI;Agriturismi;CASTELRAIMONDO;loc. Roccafranca, 2
15290;043009-AGR-00002;AGRITURISMO ROTABELLA;Agriturismi;CASTELRAIMONDO;localita' seano, 1
15922;043009-AGR-00003;PIETRA MAULA AGRITURISMO;Agriturismi;CASTELRAIMONDO;Loc. Stroppigliosi, 9
1561;043009-AGR-00004;AI RANGHI;Agriturismi;CASTELRAIMONDO;via Ranghi, 1
1562;043009-AGR-00005;IL GIARDINO DEGLI ULIVI;Agriturismi;CASTELRAIMONDO;via Crucianelli, 54
1563;043009-AGR-00006;AGRITURISMO IL CASATO;Agriturismi;CASTELRAIMONDO;localita' Vasconi, 11/A
11828;043009-ALB-00002;PANORAMA;Albergo;CASTELRAIMONDO;via del colle, 7
13440;043009-ALB-00003;BORGO LANCIANO;Albergo;CASTELRAIMONDO;localita' Lanciano, 5
21456;043009-APA-00001;CASABELVEDER;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);CASTELRAIMONDO;Località Carsignano, 50
22598;043009-APA-00002;FEIJEN CORNELIA HELENA HENRICA MARIA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);CASTELRAIMONDO;Località Casa Peloso, 10
22597;043009-BeB-00003;BORGO CRISPIERO DI CORNELIA HELENA HENRICA MARIA FEIJEN;Bed & Breakfast;CASTELRAIMONDO;Località Casa Peloso, 10
16157;043009-CAV-00001;LE MAGNOLIE;Case e appartamenti per vacanze;CASTELRAIMONDO;via E. Mattei, 69
13941;043009-CHT-00001;SELVICOLLE COUNTRY HOUSE;Country house;CASTELRAIMONDO;loc. Nani 4, 4
14461;043009-CHT-00002;VILLA CASABIANCA;Country house;CASTELRAIMONDO;localita' smoglie, 1
22427;043010-BeB-00001;STRUTTURA TEMPORANEA B&B LE STANZE DELLE FATE - I SENTIERI D;Bed & Breakfast;CASTELSANTANGELO SUL NERA;Via San Martino, 192-29
13150;043011-AGR-00001;AGRITURISMO L' OLMO DI CASIGLIANO;Agriturismi;CESSAPALOMBO;LOCALITA' CASIGLIANO, 1
13854;043011-AGR-00002;IL CARBONAIO;Agriturismi;CESSAPALOMBO;VILLA MONTALTO
14113;043011-AGR-00003;L'OMBRA DELLE QUERCE di BORRONI AURELIO;Agriturismi;CESSAPALOMBO;CONTRADA CASIGLIANO, 43
16935;043011-AGR-00005;AGRITURISMO COLDIPIETRA;Agriturismi;CESSAPALOMBO;c.da Coldipietra, snc
16596;043011-APA-00001;CASA SANTANCINI di DAWN COLCLOUGH;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);CESSAPALOMBO;c.da Prati, 1
20400;043011-CHT-00002;AGRICOLA FORESTALE CASIGLIANO DEI SIBILLINI DI POGGI HELOISE;Country house;CESSAPALOMBO;Contrada Casigliano, 30
14876;043012-AFF-00001;IL FOCOLARE di CICARILLI STEFANIA;Affittacamere;CINGOLI;via orazio avicenna, 8
19586;043012-AFF-00003;CASA APOLLONIA;Affittacamere;CINGOLI;Via Lipparelli, 5
21765;043012-AFF-00005;LE GINESTRE DI GIORGI GIANDOMENICO;Affittacamere;CINGOLI;Via Buonarroti, 2
24880;043012-AFF-00008;APRENDO PORTE INTERIORI;Affittacamere;CINGOLI;Palazzo di Avenale, 22
13236;043012-AGR-00001;LA CORTE SUL LAGO;Agriturismi;CINGOLI;frazione Moscosi, 35
14343;043012-AGR-00002;VILLA MARGHERITA;Agriturismi;CINGOLI;Località Coppo, 11
17209;043012-AGR-00003;AGRITURISMO I MORI;Agriturismi;CINGOLI;loc.Pettovallone, 1
17352;043012-AGR-00004;COLLE SUL LAGO;Agriturismi;CINGOLI;loc. Castreccioni, 15
1569;043012-AGR-00007;AGRITURISMO GLI ULIVI;Agriturismi;CINGOLI;localita' capovilla, 6
1571;043012-AGR-00008;VILLA PIA;Agriturismi;CINGOLI;frazione botontano, 62
19795;043012-AGR-00009;AZIENDA AGRICOLA ANTINORI DI TOGNI GIORGIO - LA DOLCE  VISCI;Agriturismi;CINGOLI;Via S. Maria del Rango, 2/A
20131;043012-AGR-00010;FATTORIA CASTIGLIONI;Agriturismi;CINGOLI;Contrada Botontano, 57
21231;043012-AGR-00011;AGRITURISMO CASALE FABRIZI;Agriturismi;CINGOLI;Via Villa Pozzo, 39
21259;043012-AGR-00012;TENUTA DI TAVIGNANO;Agriturismi;CINGOLI;Località Tavignano, 10
11837;043012-ALB-00001;TETTO DELLE MARCHE;Albergo;CINGOLI;Via E. Cristianopoli, 47
11834;043012-ALB-00003;VILLA UGOLINI;Albergo;CINGOLI;Via Sant' Anastasio, 28
11835;043012-ALB-00004;LA PINETA;Albergo;CINGOLI;frazione pozzo, 135
11836;043012-ALB-00005;ANTICA TAVERNA ALLA SELVA;Albergo;CINGOLI;via Cicerone, 1
17033;043012-APA-00002;CASALBA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);CINGOLI;via Cicerone, 3
20418;043012-APA-00003;A CASA DI PAOLO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);CINGOLI;Via Avenale, 55
21347;043012-APA-00004;BARRESI CINZIA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);CINGOLI;Via Cicerone, 7
21359;043012-APA-00005;REED JILLIAN ELIZABETH LOUISE;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);CINGOLI;Via Colcerasa, snc
22956;043012-APA-00006;CONTADIN CRISTIANO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);CINGOLI;Tavignano, 18/A
24170;043012-APA-00007;PIONI GABRIELLA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);CINGOLI;Pian della pieve primo piano, 13
24978;043012-APA-00008;ZAZA NATASHA YVONNE;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);CINGOLI;Via Saltregna, 26
16983;043012-AST-00001;AREA DI SOSTA ATTREZZATA BALCONE DELLE MARCHE;Aree di Sosta;CINGOLI;loc. San Carlo, snc
13415;043012-BeB-00003;B&B CASA DI NONNO URE';Bed & Breakfast;CINGOLI;localita' sant' obrizio, 1
14351;043012-BeB-00005;B&B DI WEALTHAL PERRY GREGORY;Bed & Breakfast;CINGOLI;localita' palazzo avenale, 40
14364;043012-BeB-00006;B&B NIDO DELLE RONDINI;Bed & Breakfast;CINGOLI;via Benedetto da Cingoli, 1
15857;043012-BeB-00007;B&B ORMEROD JACQUELINE;Bed & Breakfast;CINGOLI;loc.Campo di Bove, 2/a
15152;043012-BeB-00009;LA SCAGLIA ROSSA di STEFANIA CICARILLI;Bed & Breakfast;CINGOLI;via cappuccini, 5
15271;043012-BeB-00010;VILLA CASTELLETTA;Bed & Breakfast;CINGOLI;localita' castelletta, 32
15431;043012-BeB-00011;B&B VERDE SMERALDO;Bed & Breakfast;CINGOLI;localita' castreccioni, 46
15856;043012-BeB-00012;B&B ORMEROD THOMAS JEREMY;Bed & Breakfast;CINGOLI;loc.Campo di Bove, 2
16034;043012-BeB-00013;B&B LA CAPUCCINA di CAPUCCI ALESSANDRO;Bed & Breakfast;CINGOLI;via Catafolle, 24
16115;043012-BeB-00014;B&B LA CHIOCA;Bed & Breakfast;CINGOLI;via delle Filande, 3
16370;043012-BeB-00015;B&B FLORIDA;Bed & Breakfast;CINGOLI;località Campana, 2
18525;043012-BeB-00018;B&B AMOR DI LAVANDA;Bed & Breakfast;CINGOLI;LOCALITA' FONTE DEL PIANO, 1
18872;043012-BeB-00019;CASA DE NONNA PEPPA;Bed & Breakfast;CINGOLI;Contrada Botontano, 20
122;043012-BeB-00020;B&B CASA SILVESTRI;Bed & Breakfast;CINGOLI;via luigi ferri, 2
372;043012-BeB-00021;NATURA E PROFUMI ...ED ANCHE SAPORI;Bed & Breakfast;CINGOLI;localita' Domo, 17
21179;043012-BeB-00022;PALAZZO CASTIGLIONI;Bed & Breakfast;CINGOLI;Corso Garibaldi, 85
21267;043012-BeB-00023;B&B da FOCO';Bed & Breakfast;CINGOLI;Via Machiavelli, 2/PT
21632;043012-BeB-00024;HORTI DEL BAIO;Bed & Breakfast;CINGOLI;Via Castreccioni, 13/A
22719;043012-BeB-00025;AI DUE CAMINI;Bed & Breakfast;CINGOLI;Via Rossini, 2/A
23600;043012-BeB-00026;B&B IL SENTIERO DEI COLORI;Bed & Breakfast;CINGOLI;Via Lupo Canullo Piano Terra, 4
24258;043012-BeB-00027;BADIA DI SAN VITTORE;Bed & Breakfast;CINGOLI;Via Cicerone, 7
261;043012-BeB-00028;PODERE LE SERRE;Bed & Breakfast;CINGOLI;Localita' Panicali, 62
24940;043012-BeB-00029;IL FIENILE;Bed & Breakfast;CINGOLI;Via Cappuccini, 22-24
G00005;043012-BeB-00030;CINGULUM;Bed & Breakfast;CINGOLI;BORGO SAN LORENZO, 67 - PIANO T
15995;043012-CAM-00001;CAMPEGGIO SPARACETO DI FALAPPA JACOPO;Campeggi;CINGOLI;via Sparaceto, snc
18841;043012-CAV-00001;SIENAERT KOEN CASE ED APPARTAMENTI PER VACANZE;Case e appartamenti per vacanze;CINGOLI;Via Monnece, 11
23476;043012-CAV-00002;LA PANORAMICA DI BORSINI CRISTIANO;Case e appartamenti per vacanze;CINGOLI;Via Avenale, 2
12748;043012-CHT-00001;LA TANA DELLA LEPRE;Country house;CINGOLI;loc. Saltregna, 8/A
13525;043012-CHT-00002;COUNTRY HOUSE I MORI;Country house;CINGOLI;localita' Pettovallone, 1
13838;043012-CHT-00004;COUNTRY HOUSE  BINNELLA DI TRILLINI RICCARDO;Country house;CINGOLI;localita' Saltregna, 3
13884;043012-CHT-00005;I PONTI Soc. Coop.;Country house;CINGOLI;localita' santa maria candelora, 1
14723;043012-CHT-00006;POSTIGLIONE DELLA CASTELLETTA;Country house;CINGOLI;localita' Lioni, 20
14724;043012-CHT-00007;COUNTRY HOUSE DI CAPODIMONTE MARISA;Country house;CINGOLI;frazione Pozzo, 37
